,Unnamed: 0,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
66,67,0.13333790199999998,0.06930381099999999,0.107667804,0.08919226400000001,0.19526734899999998,0.106075085,3.0434560239999997,13.6941731,0.9295121829999999,0.6278722,0.08696245699999999,0.13333790199999998,0.121967879,0.047337277999999997,0.277456647,0.82265625,0.0,4.6875,4.6875,0.076296296,young
84,85,0.137433311,0.058518247,0.112036915,0.092841134,0.200079103,0.10723797,2.807995168,12.77665008,0.911079506,0.47817509700000005,0.101331575,0.137433311,0.111203994,0.047151277000000005,0.277456647,1.313384434,0.0,6.046875,6.046875,0.135810914,young
85,86,0.142226653,0.06544671,0.11224242400000001,0.093454545,0.202909091,0.109454545,2.3808987619999997,9.942832507,0.9360399559999999,0.557276024,0.106545455,0.142226653,0.118711226,0.047012733,0.275862069,0.59375,0.0,6.5390625,6.5390625,0.096102151,matured
87,88,0.133324738,0.072848766,0.11335958,0.082860892,0.203753281,0.120892388,1.904123194,7.799217952999999,0.9583617640000001,0.708278515,0.10858267699999999,0.133324738,0.116200305,0.047105005,0.27906976699999997,0.424921875,0.0,5.8125,5.8125,0.081879526,young
88,89,0.130486897,0.070406551,0.113417722,0.076098287,0.19618764,0.120089352,1.820872604,8.561101138,0.969568221,0.7784886520000001,0.10153387900000001,0.130486897,0.11480235800000001,0.047151277000000005,0.27906976699999997,0.19806985300000002,0.0,1.078125,1.078125,0.131578947,matured
91,92,0.13453458599999998,0.064730727,0.114401806,0.096072235,0.194356659,0.09828442400000001,2.598278384,11.43265271,0.930364284,0.601640457,0.09986456,0.13453458599999998,0.10089591199999999,0.047524752,0.275862069,0.33222656300000003,0.0,9.46875,9.46875,0.05497655,young
92,93,0.13664934,0.059984179000000006,0.114795417,0.08821603900000001,0.191096563,0.102880524,2.329923844,8.709185143,0.9208956159999999,0.502828661,0.082258592,0.13664934,0.116649849,0.04719764,0.27428571399999996,0.255744485,0.0,5.15625,5.15625,0.07067448700000001,young
103,104,0.14054143,0.06982376700000001,0.116787565,0.092849741,0.19984456,0.106994819,2.9721806089999996,14.67709149,0.935424345,0.603606475,0.095751295,0.14054143,0.12240888,0.046966732000000004,0.27906976699999997,0.27192051,0.0,10.5703125,10.5703125,0.036207695,young
106,107,0.138601894,0.057495236,0.11819230800000001,0.103384615,0.19923076899999997,0.095846154,3.206967961,15.23095779,0.906144807,0.514013439,0.1085,0.138601894,0.125236394,0.047105005,0.27906976699999997,1.1281483209999998,0.0,11.765625,11.765625,0.11130478099999999,young
109,110,0.133851157,0.074432674,0.11884677,0.06816871299999999,0.200021356,0.13185264300000002,1.185589519,4.767063102,0.959647015,0.6482851070000001,0.10748531800000001,0.133851157,0.116153539,0.047058824000000006,0.27428571399999996,0.946601942,0.0234375,12.4921875,12.46875,0.071467732,young
