Unnamed: 0.1,Unnamed: 0,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label,Unnamed: 0.1,Unnamed: 0,X,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label,Unnamed: 0,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
66,67,0.1333379019999999,0.0693038109999999,0.107667804,0.089192264,0.1952673489999999,0.106075085,3.043456024,13.6941731,0.929512183,0.6278722,0.0869624569999999,0.1333379019999999,0.121967879,0.0473372779999999,0.277456647,0.82265625,0.0,4.6875,4.6875,0.076296296,young,0.0,1.0,1.0,0.181338105,0.0604951159999999,0.187475623,0.126197183,0.233586132,0.107388949,0.8690878000000001,2.863716892,0.923566258,0.307219558,0.216901408,0.181338105,0.137742223,0.0230215829999999,0.271186441,0.77734375,0.0859375,6.2265625,6.140625,0.116585704,sad,66,0.1333379019999999,0.0693038109999999,0.107667804,0.089192264,0.1952673489999999,0.106075085,3.043456024,13.6941731,0.929512183,0.6278722,0.0869624569999999,0.1333379019999999,0.121967879,0.0473372779999999,0.277456647,0.82265625,0.0,4.6875,4.6875,0.076296296,male
84,85,0.137433311,0.058518247,0.112036915,0.092841134,0.200079103,0.10723797,2.807995168,12.77665008,0.911079506,0.478175097,0.101331575,0.137433311,0.111203994,0.047151277,0.277456647,1.313384434,0.0,6.046875,6.046875,0.135810914,young,1.0,2.0,2.0,0.186897392,0.062260334,0.195069668,0.130846731,0.243987138,0.113140407,1.191767427,3.878650362,0.91884764,0.298859325,0.135648446,0.186897392,0.121811357,0.018411968,0.271186441,0.930338542,0.0859375,4.0,3.9140625,0.144982762,sad,84,0.137433311,0.058518247,0.112036915,0.092841134,0.200079103,0.10723797,2.807995168,12.77665008,0.911079506,0.478175097,0.101331575,0.137433311,0.111203994,0.047151277,0.277456647,1.313384434,0.0,6.046875,6.046875,0.135810914,male
85,86,0.142226653,0.06544671,0.112242424,0.093454545,0.202909091,0.109454545,2.380898762,9.942832507,0.936039956,0.557276024,0.106545455,0.142226653,0.118711226,0.047012733,0.275862069,0.59375,0.0,6.5390625,6.5390625,0.096102151,matured,2.0,3.0,3.0,0.189102142,0.0629012759999999,0.204945295,0.131422319,0.249978118,0.118555799,1.312690276,4.5899950480000005,0.91951906,0.313068592,0.264070022,0.189102142,0.123757895,0.083333333,0.262295082,0.332386364,0.0859375,0.625,0.5390625,0.334782609,sad,85,0.142226653,0.06544671,0.112242424,0.093454545,0.202909091,0.109454545,2.380898762,9.942832507,0.936039956,0.557276024,0.106545455,0.142226653,0.118711226,0.047012733,0.275862069,0.59375,0.0,6.5390625,6.5390625,0.096102151,male
87,88,0.133324738,0.072848766,0.11335958,0.082860892,0.203753281,0.120892388,1.904123194,7.799217952999999,0.958361764,0.708278515,0.1085826769999999,0.133324738,0.116200305,0.047105005,0.2790697669999999,0.424921875,0.0,5.8125,5.8125,0.081879526,young,4.0,5.0,5.0,0.183036061,0.060051263,0.174115268,0.129949444,0.236966633,0.107017189,1.096408695,3.680995381,0.921361417,0.329295377,0.152032356,0.183036061,0.128469334,0.044692737,0.258064516,1.012019231,0.0859375,5.46875,5.3828125,0.304910498,sad,87,0.133324738,0.072848766,0.11335958,0.082860892,0.203753281,0.120892388,1.904123194,7.799217952999999,0.958361764,0.708278515,0.1085826769999999,0.133324738,0.116200305,0.047105005,0.2790697669999999,0.424921875,0.0,5.8125,5.8125,0.081879526,male
88,89,0.130486897,0.070406551,0.113417722,0.076098287,0.19618764,0.120089352,1.820872604,8.561101138,0.969568221,0.7784886520000001,0.101533879,0.130486897,0.114802358,0.047151277,0.2790697669999999,0.198069853,0.0,1.078125,1.078125,0.131578947,matured,5.0,6.0,6.0,0.16879306,0.057910224,0.156266137,0.1167825219999999,0.21632572,0.099543198,1.3868367469999998,5.031743902,0.926237688,0.337046772,0.153763654,0.16879306,0.109719895,0.02247191,0.235294118,0.228794643,0.09375,0.75,0.65625,0.306776557,sad,88,0.130486897,0.070406551,0.113417722,0.076098287,0.19618764,0.120089352,1.820872604,8.561101138,0.969568221,0.7784886520000001,0.101533879,0.130486897,0.114802358,0.047151277,0.2790697669999999,0.198069853,0.0,1.078125,1.078125,0.131578947,male
91,92,0.1345345859999999,0.064730727,0.114401806,0.096072235,0.194356659,0.098284424,2.598278384,11.43265271,0.930364284,0.601640457,0.09986456,0.1345345859999999,0.1008959119999999,0.047524752,0.275862069,0.332226563,0.0,9.46875,9.46875,0.05497655,young,7.0,8.0,8.0,0.174928732,0.059598251,0.19628866,0.114309278,0.228618557,0.114309278,2.212273995,8.529236346,0.8973973540000001,0.292016541,0.114020619,0.174928732,0.116962212,0.030534351,0.23880597,0.2734375,0.09375,0.625,0.53125,0.270833333,sad,91,0.1345345859999999,0.064730727,0.114401806,0.096072235,0.194356659,0.098284424,2.598278384,11.43265271,0.930364284,0.601640457,0.09986456,0.1345345859999999,0.1008959119999999,0.047524752,0.275862069,0.332226563,0.0,9.46875,9.46875,0.05497655,male
92,93,0.13664934,0.059984179,0.114795417,0.088216039,0.191096563,0.102880524,2.329923844,8.709185143,0.920895616,0.502828661,0.082258592,0.13664934,0.116649849,0.04719764,0.2742857139999999,0.255744485,0.0,5.15625,5.15625,0.070674487,young,8.0,9.0,9.0,0.165810718,0.063460422,0.170540541,0.104594595,0.223513514,0.118918919,2.026813112,7.819853636,0.906607039,0.322477646,0.091081081,0.165810718,0.092203064,0.017204301,0.262295082,0.172916667,0.0859375,0.5078125,0.421875,0.335978836,sad,92,0.13664934,0.059984179,0.114795417,0.088216039,0.191096563,0.102880524,2.329923844,8.709185143,0.920895616,0.502828661,0.082258592,0.13664934,0.116649849,0.04719764,0.2742857139999999,0.255744485,0.0,5.15625,5.15625,0.070674487,male
103,104,0.14054143,0.069823767,0.116787565,0.092849741,0.19984456,0.106994819,2.972180609,14.67709149,0.935424345,0.603606475,0.095751295,0.14054143,0.12240888,0.046966732,0.2790697669999999,0.27192051,0.0,10.5703125,10.5703125,0.036207695,young,9.0,10.0,10.0,0.174916076,0.06426611,0.1675,0.11475,0.23325,0.1185,1.425661954,5.073168153,0.918925452,0.335891646,0.111,0.174916076,0.096092374,0.0182857139999999,0.235294118,0.544270833,0.09375,4.890625,4.796875,0.151849013,sad,103,0.14054143,0.069823767,0.116787565,0.092849741,0.19984456,0.106994819,2.972180609,14.67709149,0.935424345,0.603606475,0.095751295,0.14054143,0.12240888,0.046966732,0.2790697669999999,0.27192051,0.0,10.5703125,10.5703125,0.036207695,male
106,107,0.138601894,0.057495236,0.118192308,0.103384615,0.1992307689999999,0.095846154,3.206967961,15.23095779,0.906144807,0.514013439,0.1085,0.138601894,0.125236394,0.047105005,0.2790697669999999,1.1281483209999998,0.0,11.765625,11.765625,0.1113047809999999,young,10.0,11.0,11.0,0.175010065,0.062859957,0.162857143,0.116428571,0.2342857139999999,0.117857143,2.50498167,10.71239016,0.8985707490000001,0.279586048,0.114761905,0.175010065,0.1096915109999999,0.015888779,0.235294118,0.727384868,0.0859375,3.796875,3.7109375,0.277894737,sad,106,0.138601894,0.057495236,0.118192308,0.103384615,0.1992307689999999,0.095846154,3.206967961,15.23095779,0.906144807,0.514013439,0.1085,0.138601894,0.125236394,0.047105005,0.2790697669999999,1.1281483209999998,0.0,11.765625,11.765625,0.1113047809999999,male
109,110,0.133851157,0.074432674,0.11884677,0.0681687129999999,0.200021356,0.131852643,1.185589519,4.767063102,0.959647015,0.6482851070000001,0.107485318,0.133851157,0.116153539,0.047058824,0.2742857139999999,0.946601942,0.0234375,12.4921875,12.46875,0.071467732,young,11.0,12.0,12.0,0.173529015,0.06273042,0.18275,0.114,0.231,0.1169999999999999,2.468755708,11.54236629,0.905506498,0.30838928,0.1155,0.173529015,0.110870419,0.017204301,0.275862069,0.917100694,0.078125,5.15625,5.078125,0.258653846,sad,109,0.133851157,0.074432674,0.11884677,0.0681687129999999,0.200021356,0.131852643,1.185589519,4.767063102,0.959647015,0.6482851070000001,0.107485318,0.133851157,0.116153539,0.047058824,0.2742857139999999,0.946601942,0.0234375,12.4921875,12.46875,0.071467732,male
